global_step,correct,similar,incorrect,train_loss,eval_loss
319,2601,50,748,0.017288118600845337,-3.9478497371495327
638,2603,49,747,0.004498709924519062,-4.946845794392523
957,2601,54,744,0.002949905814602971,-5.261463200934579
1276,2591,64,744,0.002718694508075714,-6.071152161214953
1595,2597,56,746,0.004790008068084717,-6.2023583528037385
1914,2588,64,747,0.1183614656329155,-6.231819509345795
2000,2589,62,748,0.004099095240235329,-6.333674065420561
2233,2592,61,746,0.001846330938860774,-6.7742041471962615
2552,2591,60,748,0.004656888544559479,-6.9375
2871,2592,59,748,0.0004162068071309477,-7.059031834112149
3190,2593,58,748,0.0004375626740511507,-7.238573306074766
