<context>: สุนัขตัวแรกรับบทเป็นเบนจี้ในภาพยนตร์เรื่อง Benji ที่ออกฉายในปี พ.ศ. 2517 มีชื่อว่าอะไร   ฮิกกิ้นส์ <human>: สุนัขตัวแรกรับบทเป็นเบนจี้ในภาพยนตร์เรื่อง Benji ที่ออกฉายในปี พ.ศ. 2517 มีชื่อว่าอะไร <bot>: ฮิกกิ้นส์,
<context>: ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต มีชื่อเรียกอีกชื่อว่าอะไร   เมชตา <human>: ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต มีชื่อเรียกอีกชื่อว่าอะไร <bot>: เมชตา,
<context>: ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต สามารถสังเกตและตรวจวัดอะไรได้โดยตรง   ลมสุริยะ <human>: ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต สามารถสังเกตและตรวจวัดอะไรได้โดยตรง <bot>: ลมสุริยะ,
<context>: กระทรวงโฆษณาแถลงข่าวและโฆษณาชวนเชื่อของนาซีเยอรมนี ก่อตั้งขึ้นในปี ค.ศ. ใด   ปี 1933 <human>: กระทรวงโฆษณาแถลงข่าวและโฆษณาชวนเชื่อของนาซีเยอรมนี ก่อตั้งขึ้นในปี ค.ศ. ใด <bot>: ปี 1933,
<context>: ห้องทำงานรูปไข่ สร้างขึ้นในสมัยอดีตประธานาธิบดีคนใดของสหรัฐอเมริกา   ประธานาธิบดีวิลเลียม เอช. ทัฟต์ <human>: ห้องทำงานรูปไข่ สร้างขึ้นในสมัยอดีตประธานาธิบดีคนใดของสหรัฐอเมริกา <bot>: ประธานาธิบดีวิลเลียม เอช. ทัฟต์,
<context>: เครื่องอิสริยาภรณ์ดารามหาปุตราเป็นเครื่องอิสริยาภรณ์ของประเทศอินโดนีเซียมีลำดับเกียรติเป็นอันดับที่เท่าไร   อันดับที่ 2 <human>: เครื่องอิสริยาภรณ์ดารามหาปุตราเป็นเครื่องอิสริยาภรณ์ของประเทศอินโดนีเซียมีลำดับเกียรติเป็นอันดับที่เท่าไร <bot>: อันดับที่ 2,
<context>: เครื่องอิสริยาภรณ์ดารามหาปุตรา เป็นเครื่องอิสริยาภรณ์ฯ ของประเทศอะไร   ประเทศอินโดนีเซีย <human>: เครื่องอิสริยาภรณ์ดารามหาปุตรา เป็นเครื่องอิสริยาภรณ์ฯ ของประเทศอะไร <bot>: ประเทศอินโดนีเซีย,
<context>: เรจโจเอมีเลียเป็นเมืองในแคว้นใดในภาคเหนือของประเทศอิตาลี   แคว้นเอมีเลีย-โรมัญญา <human>: เรจโจเอมีเลียเป็นเมืองในแคว้นใดในภาคเหนือของประเทศอิตาลี <bot>: แคว้นเอมีเลีย-โรมัญญา,
<context>: พิกซาร์สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ตั้งอยู่ที่เมืองอะไร   เมืองเอเมอรีวิลล์ <human>: พิกซาร์สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ตั้งอยู่ที่เมืองอะไร <bot>: เมืองเอเมอรีวิลล์,
<context>: พิกซาร์ สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ในปัจจุบันเป็นส่วนหนึ่งของบริษัทอะไร   บริษัทเดอะวอลต์ดิสนีย์ <human>: พิกซาร์ สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ในปัจจุบันเป็นส่วนหนึ่งของบริษัทอะไร <bot>: บริษัทเดอะวอลต์ดิสนีย์
