Question,Response
สุนัขตัวแรกรับบทเป็นเบนจี้ในภาพยนตร์เรื่อง Benji ที่ออกฉายในปี พ.ศ. 2517 มีชื่อว่าอะไร,ฮิกกิ้นส์
ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต มีชื่อเรียกอีกชื่อว่าอะไร,เมชตา
ลูนา 1 เป็นยานอวกาศลำแรกในโครงการลูนาของโซเวียต สามารถสังเกตและตรวจวัดอะไรได้โดยตรง,ลมสุริยะ
กระทรวงโฆษณาแถลงข่าวและโฆษณาชวนเชื่อของนาซีเยอรมนี ก่อตั้งขึ้นในปี ค.ศ. ใด,ปี 1933
ห้องทำงานรูปไข่ สร้างขึ้นในสมัยอดีตประธานาธิบดีคนใดของสหรัฐอเมริกา,ประธานาธิบดีวิลเลียม เอช. ทัฟต์
เครื่องอิสริยาภรณ์ดารามหาปุตราเป็นเครื่องอิสริยาภรณ์ของประเทศอินโดนีเซียมีลำดับเกียรติเป็นอันดับที่เท่าไร,อันดับที่ 2
เครื่องอิสริยาภรณ์ดารามหาปุตรา เป็นเครื่องอิสริยาภรณ์ฯ ของประเทศอะไร,ประเทศอินโดนีเซีย
เรจโจเอมีเลียเป็นเมืองในแคว้นใดในภาคเหนือของประเทศอิตาลี,แคว้นเอมีเลีย-โรมัญญา
พิกซาร์สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ตั้งอยู่ที่เมืองอะไร,เมืองเอเมอรีวิลล์
พิกซาร์ สตูดิโอสร้างคอมพิวเตอร์แอนิแมชันสัญชาติอเมริกัน ในปัจจุบันเป็นส่วนหนึ่งของบริษัทอะไร,บริษัทเดอะวอลต์ดิสนีย์
ไซเบอร์ซันเดย์ 2008 จัดแข่งขันในวันที่ 26 ตุลาคม พ.ศ. 2551 จัดที่ประเทศอะไร,สหรัฐอเมริกา
บัดดี้ นอกซ์ เป็นนักร้องชาวอะไร,ชาวอเมริกัน
บัดดี้ นอกซ์ มีผลงานเพลงที่เป็นที่รู้จักในช่วงปี ค.ศ. 1957 ชื่อเพลงว่าอะไร,"เพลง ""Party Doll"""
สภาเศรษฐกิจโลก หรือ WEF ก่อตั้งเมื่อปี พ.ศ. ใด,ปี พ.ศ. 2514
ใครเป็นผู้ตั้งสภาเศรษฐกิจโลกขึ้นในปี พ.ศ. 2514 โดยทุกปีจะมีการประชุมที่ประเทศสวิตเซอร์แลนด์,คลาอัส มาร์ติน สเควป(Klaus Martin
ท่าอากาศยานสุโขทัย เปิดทำการครั้งแรกเมื่อไร,วันที่ 12 เมษายน พ.ศ. 2539
สแกนดาร์ เคนส์ เป็นนักแสดงประเทศอะไร,ประเทศอังกฤษ
ลีโอสเตเดียมเป็นสนามฟุตบอลเหย้าของสโมสรฟุตบอลบางกอกกล๊าสตั้งอยู่ที่จังหวัดอะไร,จังหวัดปทุมธานี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรปครั้งที่ 6 จัดขึ้นที่ประเทศอะไร,ประเทศอิตาลี
การแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1980 จัดการแข่งขันขึ้นเมื่อไร,วันที่ 11-22 มิถุนายน ค.ศ. 1980
ตลอดกาล เป็นอัลบั้มเพลงไทยชุดที่ 5 ของวงอะไร,วงคีรีบูน
โปรดิวเซอร์ของอัลบั้มตลอดกาล ของวงคีรีบูนคือใคร,คุณปราจีน ทรงเผ่า
เท็กแบ็คเดอะไนท์เป็นเพลงที่บันทึกเสียงโดยนักร้องชาวอเมริกันชื่อว่าอะไร,จัสติน ทิมเบอร์เลก
เท็กแบ็คเดอะไนท์ เพลงของ จัสติน ทิมเบอร์เลก ให้ดาวน์โหลดได้เมื่อไร,วันที่ 12 กรกฎาคม ค.ศ. 2013
อัณณา หชาเร ได้รับเหรียญอิสริยาภรณ์จากรัฐบาลประเทศอะไร,รัฐบาลอินเดีย
ทีมวอลเลย์บอลชายที่ได้เข้าแข่งในฐานะแชมป์โลกปี 2018 คือประเทศอะไร,โปแลน
นายกรัฐมนตรีหญิงคนแรกของอิสราเอลคือใคร,โกลดา เมอีร์
อางี้ หรือ วนิดา ตันติวิทยาพิทักษ์ จบชั้นมัธยมศึกษาจากโรงเรียนอะไร,โรงเรียนสตรีมหาพฤฒาราม
หลังจากหลบเข้าป่า วนิดา ตันติวิทยาพิทักษ์  กลับมาเรียนต่อกี่ปีจึงสำเร็จการศึกษา,3 ปี
ปิยะมาศ โมนยะกุลได้แสดงภาพยนตร์เรื่องแรกในปี 2515 กำกับโดยวินิจ ภักดีวิจิตร มีชื่อเรื่องว่าอะไร,ขัง 8
ลำไย ไหทองคำ นักร้องลูกทุ่งไทยมีชื่อจริงว่าอะไร,สุพรรณษา เวชกามา
ลำไย ไหทองคำ นักร้องลูกทุ่งของไทยเกิดที่จังหวัดอะไร,จังหวัดร้อยเอ็ด
บ้านเกิดของเซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน อยู่ที่เมืองใดในประเทศนิวซีแลนด์,เมือง North Island
ภาพยนตร์เรื่อง The Lovely Bones ในปี 2009 กำกับโดยใคร,เซอร์ปีเตอร์ โรเบิร์ต แจ็กสัน
ทีมวอลเลย์บอลอาชีพของอินโดนีเซียที่ก่อตั้งในปี ค.ศ. 2002 ชื่อทีมว่าอะไร,ปาเลมบัง บัง ซุมเซล บาเบล
สนามเหย้าของทีมปาเลมบัง บัง ซุมเซล บาเบล มีชื่อสนามว่าอะไร,ปาเลมบังสปอร์ตฮอลล์
ประเทศอะไรเป็นเจ้าภาพจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป ครั้งที่ 7,ประเทศฝรั่งเศส
ช่วงเวลาใดที่เริ่มจัดการแข่งขันฟุตบอลชิงแชมป์แห่งชาติยุโรป 1984,วันที่ 12-27 มิถุนายน ค.ศ. 1984
นิศาชล ต้วมสูงเนิน เกิดในจังหวัดอะไร,จังหวัด อุดรธานี
